"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.62438732436918e-27,0.786484080765621,0.363,0.227,1.1429038082254e-22,"1","Adam19"
1.0105028762776e-26,0.881541756946625,0.295,0.168,1.33911841164307e-22,"1","Sdha"
1.15072725251719e-26,0.724730404104675,0.427,0.285,1.52494375503577e-22,"1","Cblb"
1.33612337894575e-26,0.700270632716856,0.392,0.248,1.77063070177891e-22,"1","Wdr95"
1.72263818041877e-26,0.796126744345144,0.32,0.188,2.28284011669095e-22,"1","Samm50"
3.23188418372983e-26,0.513207405854569,0.51,0.342,4.28289292027877e-22,"1","Sumo1"
3.31424871896025e-26,0.465477793703534,0.696,0.549,4.39204240236612e-22,"1","Zyx"
3.47505475759425e-26,0.808905823294891,0.358,0.224,4.6051425647639e-22,"1","Vps37b"
4.00626401318077e-26,0.480185369837746,0.572,0.408,5.30910107026715e-22,"1","Prdx5"
1.31245673554517e-25,0.80210728945222,0.315,0.186,1.73926766594446e-21,"1","Unc119"
1.35509555965334e-25,0.949245824776092,0.259,0.143,1.79577263565261e-21,"1","Coro2a"
2.10674367757912e-25,0.586433852171903,0.527,0.382,2.79185672152785e-21,"1","Dennd1c"
2.7207429456739e-25,0.468133041403743,0.679,0.538,3.60552855160705e-21,"1","Prf1"
3.94253736989968e-25,0.695545055013594,0.413,0.272,5.22465052259106e-21,"1","Sptan1"
9.78559640186326e-25,0.814887824304909,0.295,0.172,1.29678723517492e-20,"1","Mta3"
1.08540091513876e-24,0.407991992328464,0.669,0.506,1.43837329274188e-20,"1","Selenok"
1.41247389493976e-24,0.57060966429347,0.434,0.283,1.87181040557417e-20,"1","Ndufa8"
1.7130173670123e-24,0.769850926813417,0.302,0.177,2.2700906147647e-20,"1","Zmat5"
2.30813297921021e-24,0.886152173077298,0.285,0.166,3.05873782404936e-20,"1","Baiap3"
2.45212498967314e-24,0.557982319669719,0.531,0.391,3.24955603631485e-20,"1","Arap2"
2.66086007495719e-24,0.568894317698909,0.553,0.413,3.52617177133326e-20,"1","Dnajc9"
